lat,lng,img_href,name
10.65727,-4.86797,https://lh6.googleusercontent.com/proxy/ABP1Tx_zyvc04NeTEJ7zbeJ-HxerbWKDEPyvf-bm8qxcDifcWNjZ_yELH105W9fGConV,Tengrela
10.65602,-4.87402,0,Tengrela
10.65708,-4.87858,https://lh6.googleusercontent.com/proxy/0otcXskJ7MHfQ59qBC5durOg9w8GE3KLQg3J4E4LDwRaWYDugCA4NyaJcWEANOGIDLPT,Tengrela
10.65565,-4.82755,0,Tengrela
10.65567,-4.8275,https://lh6.googleusercontent.com/proxy/GhRNtjy3l4H2c7BhrV_LiLRbqoFGsbn9YRg_5fLg2qdISpbUXOvdX9Rh8bvVplktA0pY,Tengrela
10.65177,-4.8273,https://lh6.googleusercontent.com/proxy/EyACUsF9NnX8Tuaarm9x9e9zYCMqZhRJZp8TPT4i2W3b0qoofzB36GI9p_eGNJ8EeCuo,Tengrela
10.6533,-4.82437,0,Tengrela
10.65372,-4.82423,https://lh6.googleusercontent.com/proxy/c7NEHbyv36vZcKu1xH3BfYTY9YWup3o11zD5njKhzS-0nF1k59yV7SJxLNaJpMss87iy,Tengrela
10.65373,-4.82382,https://lh6.googleusercontent.com/proxy/EdbSI5qVNMkBd2wCqx-1nAIjhrTBLUOtthJXIMFfHuGYzdn2UxamzhY7pVpsSkSjdChw,Tengrela
10.6527,-4.82373,https://lh6.googleusercontent.com/proxy/OLBfYQ38VHhp93KFKg98y4VUlhStWR0IHILM1esJQTekYJZcfzrv6heCY4nsNKlNn9Nm,Tengrela
10.65738,-4.82647,https://lh6.googleusercontent.com/proxy/rL9CTQhSaIu9M6jv-xyjQ-1_OkT6shzduN5qZRTjBWcSiSdL03af8JG4sW7R7VgcjJKB,Tengrela
10.65932,-4.82665,https://lh6.googleusercontent.com/proxy/7jFvA-cjQMFOSjs0tZgjI-IhmuVUxJvnKox8byubItG6eIxi95NOViaiC_rxxXolKA2t,Tengrela
10.64825,-4.80752,https://lh6.googleusercontent.com/proxy/AzSQFMdgdXQ58gcVSM9GIUp7mumTLWHMdvtVBzG8m5bT9NxhFF-FYzyBoVv944xKW1Ek,Tengrela
10.64852,-4.808,https://lh6.googleusercontent.com/proxy/0WkelLbLXPxFAnERU6hhMdXL-GK25x8RLQrkAqf3JvSukPkplOEbR932a8TPIy151-N1,Tengrela
0,0,0,Ouagadougou
0,0,0,Saaba
0,0,0,Saaba
0,0,0,Saaba
0,0,0,Saaba
0,0,0,Saaba
0,0,0,Tondtenga
11.5135,79.62355,https://lh6.googleusercontent.com/proxy/Na76Q7aczh-UdFRRXg4onyzDOCiTGM2W3CX1hhPEygfrsWBPV-JMNmik3CC6uNY6DQ,Kumudimoolai
11.51352,79.62347,https://lh6.googleusercontent.com/proxy/zoy_5Furn5v33PAaUFy967XBFUAJe3GdEMx4COLTgEGQwSkAn1Dk0pMowl-UgsY,Kumudimoolai
11.5135,79.62333,https://lh6.googleusercontent.com/proxy/RbHJ4ly5MGuGenhawmxmKV94a-9lGhSG1CvIUL2PfRTFtUS_qiTWGelCZeH7pOo,Kumudimoolai
11.51348,79.6232,https://lh6.googleusercontent.com/proxy/eSrHbgaUz3ndbNU4VZv35rdNr6lKvGklgA8ABPY4Kj0K0Hfkz9QIu1j36CpYg1c,Kumudimoolai
11.51345,79.62292,https://lh6.googleusercontent.com/proxy/3m6oShrxkePFj1nTs9Hiqv6dSEsKKBQT4y2Hu734sBH_DzOABKmJNr3y3GBgz0k,Kumudimoolai
11.5136,79.62283,https://lh6.googleusercontent.com/proxy/QwWVsiKHZt3HsOFFZUXkyh6489wFaHslhpS1EISEXB4ewbW-Wjbrrq3IAarlLwQ,Kumudimoolai
11.5135,79.62277,https://lh6.googleusercontent.com/proxy/eIF5KpAHrmCtYBJikeRL4aHri6fgpz16utUa7ex2SDnz9LjEEUcY-8kxnJ-lhiM,Kumudimoolai
11.51327,79.62338,https://lh6.googleusercontent.com/proxy/UAV9k1VFY1lzF42cgN_DhNJNhh8g0OT1STe2dcW9IDIW6Ds57jfZEtKL-6UXEsk,Kumudimoolai
11.51283,79.6232,0,Kumudimoolai
11.51273,79.62305,https://lh6.googleusercontent.com/proxy/cYq6Vdxr2lMwildncILL1CyygVPy7YiIR3lWehB4JzOGU1xe-Dlzo40rsv1ZMf0,Kumudimoolai
11.51363,79.6233,https://lh6.googleusercontent.com/proxy/og2koAALOrcwzl4VuCVWQ9I868uHiF-Rgq-5Cn8CdHxoUhlaUeGZQUcqciC0YUU,Kumudimoolai
11.51393,79.62297,https://lh6.googleusercontent.com/proxy/PigqCyyPgjkMrqPCDuNT6Pk8RHec_FZGUoPHZ2GhcuKmqwBXQbI7YXS75rpUjS4,Kumudimoolai
11.51365,79.62285,https://lh6.googleusercontent.com/proxy/I2RFgL7HmZjOPvyDyo-MP7pbXtrI6NkGFo2gqrVRhXo_PUKyy5LfmYppoBQ9SkA,Kumudimoolai
11.51365,79.62287,https://lh6.googleusercontent.com/proxy/DYicGJ76rHrD4ufmfiGE-mSMZNOP1FTiSkX7CuR7JXjgnt0QENbDvDd5VK9-6HQ,Kumudimoolai
11.51362,79.62278,https://lh6.googleusercontent.com/proxy/ODKQQmN2aubGalVHZoQz2anq0Ky80Q8h0Zl4wBbuiq2tCuSWB84VQdLHKpOpqfY,Kumudimoolai
11.51383,79.62243,0,Kumudimoolai
11.51422,79.6225,https://lh6.googleusercontent.com/proxy/FzIPTzsm7svhqhezeQ2EAxGpBT2l4D2pKwxCWkd4K4ZJTNf0T6w_onatFJ3aM4M,Kumudimoolai
11.51438,79.62252,https://lh6.googleusercontent.com/proxy/of6XOS6vav3gIDbJmvR9trHnuu8f-CmsNSbYoyOTylxIbUL4LMrPRCR1CdG2iIQ,Kumudimoolai
11.5142,79.6224,https://lh6.googleusercontent.com/proxy/vGbO2fMZByAAbJGvJYAcMb_P9MYkOuE2K4cHNl7ymEkfykZxdV2xs8tjtQcWB_c,Kumudimoolai
11.5146,79.62257,https://lh6.googleusercontent.com/proxy/V1IkGxOLl7hik7HuO44hOBJwcribwTM8fUDTAqPCU8E930ji6kLuoibpGWajwE0,Kumudimoolai
11.51407,79.62245,https://lh6.googleusercontent.com/proxy/pPIrbUC9cvrTGJQTV0F_G382uOPKZuCaWAfLsdNLXXKFRvUXAvNEGGIzqvrYg5Y,Kumudimoolai
11.51395,79.62233,https://lh6.googleusercontent.com/proxy/r6e0TIy1AzWgkyeY3ysXPtNkj2n9i-VIWrbal6pSIJiIB1ETGKgn1BB3masuSbU,Kumudimoolai
11.514,79.62282,https://lh6.googleusercontent.com/proxy/Zdi0Lz-_vQe3uui1amlJ2pneNU2oELS1BTEtwD9-NO8WkXjxOMBWC88G5Un2QxM,Kumudimoolai
11.51367,79.62303,https://lh6.googleusercontent.com/proxy/yOWWSRe3Fldd9aAIcIiuQ-Ra7ZVmP5Gz0TVpK27Lj_DG-KTHIUeZ6JNQzK_eDso,Kumudimoolai
11.4753,79.58257,https://lh6.googleusercontent.com/proxy/o-2-f0obgz19ZmwqoSWZcpWuh_D2QiMR9PS6hfDKebmYpJCyJsPzNvhWuBsawDc,Kumudimoolai
11.51473,79.61545,https://lh6.googleusercontent.com/proxy/nNF5eJf36q3MtnYnT9e8xgt-ZtKZuElTin86JX7bUXfNC_X3ar5IKuyyPk84uoc,Kumudimoolai
11.51538,79.61602,https://lh6.googleusercontent.com/proxy/IgdHHHLvY4l2O41I2By3EbwupJmLJt4zWjLvzM-DYco2tHo-zuZXLYwn2KwYPaI,Kumudimoolai
11.5148,79.61535,https://lh6.googleusercontent.com/proxy/4Z39RA77XiYqJEOoqJXq11oFxR2v1psBwtx6Twg9RMzYKy1NjA4r4A0grUhnlrA,Kumudimoolai
11.5148,79.61482,https://lh6.googleusercontent.com/proxy/4or40Gj82w-BwYfzhyH0Mfh8DNtMXOR28eAE5EfYv2MCqXiowUdcSHapRJeRT1Q,Kumudimoolai
11.51515,79.6148,https://lh6.googleusercontent.com/proxy/u_G3CDCwMj-wy3AqUgJLGPamMAfztWT8uoumQpPWATmB0WNW1x07SxCkKLjfItI,Kumudimoolai
11.51453,79.61492,https://lh6.googleusercontent.com/proxy/27zgWk4HzUkqHXhcYmT6ayyWNRR52BBaIR5shbF5P7WJb0h_FPJJN23Ys-HBABY,Kumudimoolai
11.5144,79.61353,https://lh6.googleusercontent.com/proxy/e_-FKA-nBXfYdVVBU1610RZQvyXzsIyjjUrR6oebu6GXeeJZARSBN0M0S7RXDt4,Kumudimoolai
11.51427,79.61203,0,Kumudimoolai
11.51422,79.61172,https://lh6.googleusercontent.com/proxy/HlY-UpmPdeEaEY1G-HOnHGTaWgymFDmBEmc6BQenaGOjKxutgRz7KztmTWFWlzU,Kumudimoolai
11.51452,79.61575,https://lh6.googleusercontent.com/proxy/V7c64JpsNbheID7GIMLDLHNV16oSkwMePS16flimrET7b9z2aUyCUwvAGA6uS4U,Kumudimoolai
11.51432,79.61617,https://lh6.googleusercontent.com/proxy/Ja4Fu6Q9Su3WZ37Fn7-kxKnd7rclZcLI7ehKQkIreoU0yxU5ZVstxutrbQ-8fDc,Kumudimoolai
11.51472,79.61712,https://lh6.googleusercontent.com/proxy/56uo4M70tK61TGgGrGfR7wpak7oTcfbQitVIqm_CcAWAQn3CPatgXncbSwEiTPo,Kumudimoolai
11.5147,79.61603,0,Kumudimoolai
11.5147,79.61603,https://lh6.googleusercontent.com/proxy/qMPYFuLj4e2S-GIq7JsDNU8ZjWvqGnZ27Lg7_cHEVcewzwV1tGsKZcHUtSgvyWM,Kumudimoolai
11.51343,79.62053,https://lh6.googleusercontent.com/proxy/MPfKBzvKYa7EeUrEmncQZSbF5Ej2k0NzvFuUACQUeOd0xkVjk-43dBqfeo2i21c,Kumudimoolai
11.51342,79.6205,https://lh6.googleusercontent.com/proxy/K_tQQ-4L6slGBakJffbgfU1W8H1BTlYR17X0wgNoFmlb7Wr-Tb1ZcK-PTActcVc,Kumudimoolai
11.51302,79.621,https://lh6.googleusercontent.com/proxy/z1vxPq9GU4ox_Z2tm7QJtwmvknS5ehEO1fCBG5qhgtHQ7ggn9B3Fi_g8LkUIbV8,Kumudimoolai
11.51382,79.6214,https://lh6.googleusercontent.com/proxy/cHgb3iHj8htUWAHVwlsZS2TmtJsFH6b5zPQ8xj5dUb1FGIBS30OKbIjkhjtfpyA,Kumudimoolai
11.51382,79.62123,https://lh6.googleusercontent.com/proxy/khIhw1_8OOPOAgNJBy6_O6WTkWe2vapvOiArPLfW_dpRSVuJ-i9n_rbGGfVurhE,Kumudimoolai
11.51408,79.62127,0,Kumudimoolai
11.51393,79.62118,https://lh6.googleusercontent.com/proxy/bgVYYxNfi04nVIqxKz9N2JQaOoWOg52_tOfyt-LYVaqjV2Jho2TGwKK4vi1LDaM,Kumudimoolai
11.51405,79.62075,https://lh6.googleusercontent.com/proxy/DVewPxRYsKgIHrJPy7mlyuzSCltJCPKvCqZLx1X8qhSp-_iIj2bajsInf-xcxko,Kumudimoolai
11.5141,79.62193,https://lh6.googleusercontent.com/proxy/788pVdFNZ1zUbDeGM25Y_Zwnkk8gmnC0n_NR3zFoE2GVy1yFp2tzBqnMFywMajY,Kumudimoolai
11.51452,79.62208,https://lh6.googleusercontent.com/proxy/IUPLJ0t_k5UQJdOr4mMjpDKCKAEki2JfuFi0dHOpi3uRAaFxp68isnvV05V-PQw,Kumudimoolai
11.5136,79.61625,https://lh6.googleusercontent.com/proxy/czCiw4miWf7l7Ll-81bNAJfG2SvvJ-e3n0lgPUu-BFXxLshQCDo51bMrJZ1lGMc,Kumudimoolai
